2021-02-02 11:06:59.939 | INFO     | __main__:<module>:37 - Training 0.11496845098114808
2021-02-02 11:06:59.939 | INFO     | __main__:<module>:37 - Training 0.11496845098114808
2021-02-02 11:06:59.939 | INFO     | __main__:<module>:37 - Training 0.11496845098114808
2021-02-02 11:12:51.106 | INFO     | __main__:<module>:41 - Validation 0.15495129962332835
2021-02-02 11:12:51.106 | INFO     | __main__:<module>:41 - Validation 0.15495129962332835
2021-02-02 11:12:51.106 | INFO     | __main__:<module>:41 - Validation 0.15495129962332835
2021-02-02 11:12:51.106 | INFO     | __main__:<module>:41 - Validation 0.15495129962332835
2021-02-02 12:05:02.315 | INFO     | __main__:<module>:37 - Training 0.11105442119193422
2021-02-02 12:05:02.315 | INFO     | __main__:<module>:37 - Training 0.11105442119193422
2021-02-02 12:05:02.315 | INFO     | __main__:<module>:37 - Training 0.11105442119193422
2021-02-02 12:05:02.315 | INFO     | __main__:<module>:37 - Training 0.11105442119193422
2021-02-02 12:05:02.315 | INFO     | __main__:<module>:37 - Training 0.11105442119193422
2021-02-02 12:10:57.832 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 12:10:57.832 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 12:10:57.832 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 12:10:57.832 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 12:10:57.832 | INFO     | __main__:<module>:41 - Validation 0.2870291528315533
2021-02-02 12:44:42.258 | INFO     | __main__:<module>:37 - Training 0.10906260043143962
2021-02-02 12:44:42.258 | INFO     | __main__:<module>:37 - Training 0.10906260043143962
2021-02-02 12:44:42.258 | INFO     | __main__:<module>:37 - Training 0.10906260043143962
2021-02-02 12:44:42.258 | INFO     | __main__:<module>:37 - Training 0.10906260043143962
2021-02-02 12:44:42.258 | INFO     | __main__:<module>:37 - Training 0.10906260043143962
2021-02-02 12:50:33.361 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 12:50:33.361 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 12:50:33.361 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 12:50:33.361 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 12:50:33.361 | INFO     | __main__:<module>:41 - Validation 0.25674776767319624
2021-02-02 13:24:32.102 | INFO     | __main__:<module>:37 - Training 0.10668864542455975
2021-02-02 13:24:32.102 | INFO     | __main__:<module>:37 - Training 0.10668864542455975
2021-02-02 13:24:32.102 | INFO     | __main__:<module>:37 - Training 0.10668864542455975
2021-02-02 13:24:32.102 | INFO     | __main__:<module>:37 - Training 0.10668864542455975
2021-02-02 13:24:32.102 | INFO     | __main__:<module>:37 - Training 0.10668864542455975
2021-02-02 13:30:24.048 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 13:30:24.048 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 13:30:24.048 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 13:30:24.048 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 13:30:24.048 | INFO     | __main__:<module>:41 - Validation 0.24075253813563258
2021-02-02 14:04:36.598 | INFO     | __main__:<module>:37 - Training 0.1050390261237742
2021-02-02 14:04:36.598 | INFO     | __main__:<module>:37 - Training 0.1050390261237742
2021-02-02 14:04:36.598 | INFO     | __main__:<module>:37 - Training 0.1050390261237742
2021-02-02 14:04:36.598 | INFO     | __main__:<module>:37 - Training 0.1050390261237742
2021-02-02 14:04:36.598 | INFO     | __main__:<module>:37 - Training 0.1050390261237742
2021-02-02 14:10:34.346 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 14:10:34.346 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 14:10:34.346 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 14:10:34.346 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 14:10:34.346 | INFO     | __main__:<module>:41 - Validation 0.2527690628616902
2021-02-02 14:44:26.319 | INFO     | __main__:<module>:37 - Training 0.10321180354889414
2021-02-02 14:44:26.319 | INFO     | __main__:<module>:37 - Training 0.10321180354889414
2021-02-02 14:44:26.319 | INFO     | __main__:<module>:37 - Training 0.10321180354889414
2021-02-02 14:44:26.319 | INFO     | __main__:<module>:37 - Training 0.10321180354889414
2021-02-02 14:44:26.319 | INFO     | __main__:<module>:37 - Training 0.10321180354889414
